category,Message
ham,go jurong pointsymtoken crazysymtokensymtoken avail bugi n great world la e buffetsymtokensymtokensymtoken cine got amor watsymtokensymtokensymtoken
ham,ok larsymtokensymtokensymtoken joke wif u onisymtokensymtokensymtoken
spam,free entri numtoken wkli comp win fa cup final tkt numtokenst may numtokensymtoken text fa numtoken receiv entri questionsymtokenstd txt ratesymtokentsymtokencsymtoken appli numtokenovernumtokensymtoken
ham,u dun say earli horsymtokensymtokensymtoken u c alreadi saysymtokensymtokensymtoken
ham,nah donsymtok think goe usfsymtoken live around though
spam,freemsg hey darl itsymtoken numtoken weeksymtoken word backsymtoken isymtokend like fun stillsymtoken tb oksymtoken xxx std chg sendsymtoken åsymtokennumtokensymtokennumtoken rcv
ham,even brother like speak mesymtoken treat like aid patentsymtoken
ham,per request symtokenmel mell symtokenoru minnaminungint nurungu vettamsymtokensymtoken set callertun callerssymtoken press symtokennumtoken copi friend callertun
spam,winnersymtokensymtoken valu network custom select receivea åsymtokennumtoken prize rewardsymtoken claim call numtokensymtoken claim code klnumtokensymtoken valid numtoken hour onlysymtoken
spam,mobil numtoken month moresymtoken u r entitl updat latest colour mobil camera freesymtoken call mobil updat co free numtoken
ham,isymtokenm gon na home soon donsymtok want talk stuff anymor tonightsymtoken ksymtoken isymtokenv cri enough todaysymtoken
spam,six chanc win cashsymtoken numtoken numtokensymtokennumtoken pound txtsymtoken cshnumtoken send numtokensymtoken cost numtokenpsymtokendaysymtoken numtokendayssymtoken numtokensymtoken tsandc appli repli hl numtoken info
spam,urgentsymtoken numtoken week free membership åsymtokennumtokensymtokennumtoken prize jackpotsymtoken txt wordsymtoken claim nosymtoken numtoken tsymtokenc urltoken lccltd pobox numtokenldnwnumtokenanumtokenrwnumtoken
ham,isymtokenv search right word thank breathersymtoken promis wont take help grant fulfil promisesymtoken wonder bless timessymtoken
ham,date sunday willsymtokensymtoken
spam,xxxmobilemovieclubsymtoken use creditsymtoken click wap link next txt messag click heresymtokensymtoken urltoken xxxmobilemovieclubsymtokencomsymtokennsymtokenqjkgighjjgcbl
ham,oh ksymtokensymtokensymtokenisymtokenm watch heresymtokensymtoken
ham,eh u rememb numtoken spell namesymtokensymtokensymtoken ye didsymtoken v naughti make v wetsymtoken
ham,fine thatåõ way u feelsymtoken thatåõ way gota b
spam,england v macedonia symtoken dont miss goalssymtokenteam newssymtoken txt ur nation team numtoken eg england numtoken trysymtokenwalessymtoken scotland numtokentxtsymtokenì¼numtokensymtokennumtoken poboxoxnumtokenwnumtokenwq numtokensymtoken
ham,serious spell namesymtoken
ham,isymtokenûsymtokenm go tri numtoken month ha ha joke
ham,ì pay first larsymtokensymtokensymtoken da stock cominsymtokensymtokensymtoken
ham,aft finish lunch go str lorsymtoken ard numtoken smth lorsymtoken u finish ur lunch alreadysymtoken
ham,ffffffffffsymtoken alright way meet soonersymtoken
ham,forc eat slicesymtoken isymtokenm realli hungri thosymtoken suckssymtoken mark get worriedsymtoken know isymtokenm sick turn pizzasymtoken lol
ham,lol alway convincingsymtoken
ham,catch bu symtoken fri egg symtoken make teasymtoken eat momsymtoken left dinner symtoken feel love symtoken
ham,isymtokenm back symtokenampsymtoken wesymtokenr pack car nowsymtoken isymtokenl let know theresymtoken room
ham,ahhhsymtoken worksymtoken vagu rememb thatsymtoken feel likesymtoken lol
ham,wait thatsymtoken still clearsymtoken sure sarcast thatsymtoken x doesnsymtok want live us
ham,yeah got numtoken v apologeticsymtoken n fallen actin like spoilt child got caught thatsymtoken till numtokensymtoken wonsymtok go theresymtoken badli cheerssymtoken yousymtoken
ham,k tell anyth yousymtoken
ham,fear faint housework didsymtoken quick cuppa
spam,thank subscript rington uk mobil charg åsymtokennumtokensymtokenmonth pleas confirm repli ye nosymtoken repli charg
ham,yupsymtokensymtokensymtoken ok go home look time msg ì againsymtokensymtokensymtoken xuhui go learn numtokennd may lesson numtokenam
ham,oopssymtoken isymtokenl let know roommatesymtoken done
ham,see letter b car
ham,anyth lorsymtokensymtokensymtoken u decidesymtokensymtokensymtoken
ham,hellosymtoken howsymtoken saturday gosymtoken text see yousymtokend decid anyth tomosymtoken isymtokenm tri invit anythingsymtoken
ham,pl go ahead wattssymtoken want suresymtoken great weekendsymtoken abiola
ham,forget tell symtoken want symtoken need yousymtoken crave symtokensymtokensymtoken symtokensymtokensymtoken love sweet arabian steed symtokensymtokensymtoken mmmmmm symtokensymtokensymtoken yummi
spam,numtoken symtoken rodger burn symtoken msg symtoken tri call repli sm free nokia mobil symtoken free camcordersymtoken pleas call numtoken deliveri tomorrow
ham,seeingsymtoken
ham,greatsymtoken hope like man well endowedsymtoken symtokenltsymtokensymtokensymtokengtsymtoken inchessymtokensymtokensymtoken
ham,callssymtokensymtokenmessagessymtokensymtokenmiss call
